election_jurisdiction,election_year,party,party_committee,contributor,type_of_contributor,specific_business,general_industry,broad_sector,parent_org_or_employer,number_of_records,dollar_amount
NJ,2018,Democratic,DEMOCRATIC ASSEMBLY CAMPAIGN CMTE OF NEW JERSEY,NEW JERSEY STATE PBA LOCAL 600,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,25000
NJ,2019,Democratic,DEMOCRATIC ASSEMBLY CAMPAIGN CMTE OF NEW JERSEY,NEW JERSEY STATE PBA LOCAL 600,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,25000
NY,2000,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,LAW ENFORCEMENT OFFICERS UNION COUNCIL 82,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,25000
NY,2002,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,LAW ENFORCEMENT OFFICERS UNION COUNCIL 82,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,25000
NY,2002,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,LAW ENFORCEMENT OFFICERS UNION COUNCIL 82,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,25000
NY,2002,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,25000
NY,2008,Democratic,NEW YORK STATE DEMOCRATIC PARTY,NEW YORK STATE POLICE INVESTIGATORS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,25000
NY,2008,Democratic,NEW YORK STATE DEMOCRATIC PARTY,LAW ENFORCEMENT OFFICERS UNION COUNCIL 82,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,25000
NY,2008,Democratic,NEW YORK STATE DEMOCRATIC PARTY,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,25000
NY,2010,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,LAW ENFORCEMENT OFFICERS UNION COUNCIL 82,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,25000
NY,2010,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,LAW ENFORCEMENT OFFICERS UNION COUNCIL 82,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,25000
NY,2010,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,8,25000
NY,2010,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK CITY SERGEANTS BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,25000
NY,2011,Democratic,NEW YORK STATE DEMOCRATIC PARTY,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,25000
NY,2017,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,25000
NY,2008,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NASSAU COUNTY POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,7,24950
NJ,2005,Democratic,NEW JERSEY DEMOCRATIC PARTY,NEW JERSEY STATE PBA LOCAL 600,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,24850
NJ,2005,Republican,NEW JERSEY REPUBLICAN PARTY,NEW JERSEY STATE TROOPERS FRATERNAL ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,24800
FL,2004,Democratic,FLORIDA DEMOCRATIC PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,24000
NY,2010,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,7,24000
NY,2013,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,24000
NY,2011,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,23446.02
NY,2012,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,23000
NY,2014,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NASSAU COUNTY POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,22600
FL,2005,Democratic,FLORIDA SENATE VICTORY CMTE,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,22500
NJ,2009,Republican,NEW JERSEY REPUBLICAN PARTY,SERGEANTS BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,22500
NY,2009,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,22200
NY,2016,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,22000
NY,2016,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NASSAU COUNTY POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,22000
FL,2001,Republican,FLORIDA REPUBLICAN PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,21500
FL,2001,Democratic,FLORIDA DEMOCRATIC PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,21000
NY,2016,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,7,21000
NY,2018,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,20500
CA,2003,Republican,CALIFORNIA REPUBLICAN PARTY,NATIVE AMERICANS & PEACE OFFICERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,20000
CA,2008,Republican,CALIFORNIA REPUBLICAN PARTY,CALIFORNIA STATEWIDE LAW ENFORCEMENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,20000
CA,2016,Democratic,CALIFORNIA DEMOCRATIC PARTY,LOS ANGELES POLICE PROTECTIVE LEAGUE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,20000
CA,2019,Democratic,CALIFORNIA DEMOCRATIC PARTY,ASSOCIATION OF ORANGE COUNTY DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,20000
NJ,2009,Democratic,NEW JERSEY DEMOCRATIC PARTY,NEW JERSEY STATE TROOPERS FRATERNAL ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,20000
NJ,2019,Democratic,NEW JERSEY DEMOCRATIC PARTY,PORT AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,20000
NV,2014,Democratic,ASSEMBLY DEMOCRATIC CAUCUS OF NEVADA,LAS VEGAS POLICE PROTECTIVE ASSOCIATION CIVILIAN EMPLOYEES,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,20000
NY,2003,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,NEW YORK CITY SERGEANTS BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,20000
NY,2004,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK CITY SERGEANTS BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,20000
NY,2008,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,20000
NY,2008,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK CITY SERGEANTS BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,20000
NY,2009,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK CITY SERGEANTS BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,20000
NY,2010,Democratic,NEW YORK STATE DEMOCRATIC PARTY,PORT AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,20000
NY,2011,Democratic,NEW YORK STATE DEMOCRATIC PARTY,PORT AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,20000
NY,2012,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK CITY SERGEANTS BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,20000
VA,2007,Republican,VIRGINIA SENATE REPUBLICAN LEADERSHIP TRUST,VIRGINIA STATE POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,20000
WI,2012,Democratic,WISCONSIN DEMOCRATIC PARTY,WISCONSIN PROFESSIONAL POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,PROFESSIONAL POLICE ASSOCIATION,1,20000
NY,2001,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,19600
CA,2018,Democratic,CALIFORNIA DEMOCRATIC PARTY,ASSOCIATION OF ORANGE COUNTY DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,19400
NY,2010,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,18000
NY,2011,Democratic,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,18000
PA,2014,Republican,SENATE REPUBLICAN CAMPAIGN CMTE OF PENNSYLVANIA,PENNSYLVANIA STATE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,18000
NY,2003,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,17700
FL,2005,Democratic,FLORIDA HOUSE VICTORY CMTE,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,17500
FL,2007,Republican,FLORIDA REPUBLICAN PARTY,FLORIDA ASSOCIATION OF FORENSIC PROFESSIONALS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,17500
FL,2018,Democratic,FLORIDA DEMOCRATIC PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,17500
NY,2012,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NASSAU COUNTY POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,17500
NY,2016,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF NEW YORK STATE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,17500
PA,2004,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF PENNSYLVANIA,PENNSYLVANIA STATE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,17500
NJ,2007,Democratic,SENATE DEMOCRATIC MAJORITY OF NEW JERSEY,NEW JERSEY STATE PBA LOCAL 600,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,17000
NJ,2009,Republican,NEW JERSEY REPUBLICAN PARTY,NEW JERSEY STATE PBA LOCAL 600,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,17000
NY,2009,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,17000
NY,2018,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF NEW YORK STATE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,17000
NY,2014,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,16500
NY,2015,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,16500
NJ,2002,Democratic,NEW JERSEY DEMOCRATIC PARTY,NEW JERSEY STATE PBA LOCAL 600,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,16200
NY,2007,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,16100
NJ,2001,Democratic,NEW JERSEY DEMOCRATIC PARTY,PORT AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,16000
WA,2007,Democratic,WASHINGTON STATE DEMOCRATIC PARTY,WASHINGTON STATE PATROL TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,16000
CA,2016,Democratic,CALIFORNIA DEMOCRATIC PARTY,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,15500
NY,2000,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,15500
NY,2003,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,15500
VA,2001,Democratic,COMMONWEALTH VICTORY FUND OF VIRGINIA,VIRGINIA STATE POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,15500
NY,2001,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,15300
CA,2001,Republican,CALIFORNIA REPUBLICAN PARTY,CALIFORNIA UNION OF SAFETY EMPLOYEES,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,NA,1,15000
CA,2002,Republican,CALIFORNIA REPUBLICAN PARTY,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,15000
CA,2003,Democratic,CALIFORNIA DEMOCRATIC PARTY,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,15000
CA,2013,Democratic,CALIFORNIA DEMOCRATIC PARTY,LOS ANGELES POLICE PROTECTIVE LEAGUE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,15000
CA,2016,Democratic,CALIFORNIA DEMOCRATIC PARTY,ASSOCIATION OF ORANGE COUNTY DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,15000
FL,2006,Republican,FLORIDA REPUBLICAN PARTY,FLORIDA ASSOCIATION OF FORENSIC PROFESSIONALS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,15000
MI,2007,Democratic,MICHIGAN HOUSE DEMOCRATIC FUND,MICHIGAN STATE POLICE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NATIONAL TROOPERS COALITION,2,15000
MN,2000,Democratic,DFL HOUSE CAUCUS OF MINNESOTA,MINNESOTA PEACE & POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,POLICE & PEACE OFFICERS ASSOCIATION,2,15000
NJ,2001,Republican,ASSEMBLY REPUBLICAN MAJORITY OF NEW JERSEY,NEW JERSEY STATE PBA LOCAL 600,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,15000
NV,2016,Democratic,NEVADA SENATE DEMOCRATS,LAS VEGAS POLICE PROTECTIVE ASSOCIATION CIVILIAN EMPLOYEES,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,15000
NV,2018,Democratic,NEVADA DEMOCRATIC PARTY,LAS VEGAS POLICE PROTECTIVE ASSOCIATION CIVILIAN EMPLOYEES,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,15000
NY,2001,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,15000
NY,2003,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NEW YORK CITY SERGEANTS BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,15000
NY,2004,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,LAW ENFORCEMENT OFFICERS UNION COUNCIL 82,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,15000
NY,2004,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,LAW ENFORCEMENT OFFICERS UNION COUNCIL 82,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,15000
NY,2017,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,15000
NY,2017,Democratic,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,15000
VA,2006,Republican,VIRGINIA SENATE REPUBLICAN LEADERSHIP TRUST,VIRGINIA STATE POLICE ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,15000
NY,2009,Democratic,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,NASSAU COUNTY POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,14500
NY,2008,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,METROPOLITAN TRANSPORTATION AUTHORITY PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,14000
NY,2013,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NASSAU COUNTY POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,14000
NY,2008,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,13500
NY,2017,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NASSAU COUNTY POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,13500
NY,2010,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,NEW YORK STATE TROOPERS PBA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,13216
FL,2000,Republican,FLORIDA REPUBLICAN PARTY,FLORIDA ASSOCIATION OF STATE TROOPERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,13000
NJ,2017,Democratic,NEW JERSEY DEMOCRATIC PARTY,NEW JERSEY STATE TROOPERS NON-COMMISSIONED OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,7,12800
CA,2017,Democratic,CALIFORNIA DEMOCRATIC PARTY,ASSOCIATION OF ORANGE COUNTY DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,12500
FL,2002,Republican,FLORIDA REPUBLICAN PARTY,FLORIDA ASSOCIATION OF STATE TROOPERS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,4,12500
FL,2015,Democratic,FLORIDA DEMOCRATIC PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,12500
FL,2017,Democratic,FLORIDA DEMOCRATIC PARTY,FLORIDA POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,12500
MI,2014,Republican,MICHIGAN REPUBLICAN PARTY,MICHIGAN STATE POLICE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,12500
NY,2016,Democratic,NEW YORK DEMOCRATIC ASSEMBLY CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,12500
PA,2006,Republican,HOUSE REPUBLICAN CAMPAIGN CMTE OF PENNSYLVANIA,PENNSYLVANIA STATE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,12500
PA,2006,Republican,SENATE REPUBLICAN CAMPAIGN CMTE OF PENNSYLVANIA,PENNSYLVANIA STATE TROOPERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,1,12500
NJ,2001,Democratic,SENATE DEMOCRATIC MAJORITY OF NEW JERSEY,NEW JERSEY STATE PBA LOCAL 600,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,12050
NJ,2002,Republican,SENATE REPUBLICAN MAJORITY CMTE OF NEW JERSEY,NEW JERSEY STATE PBA LOCAL 600,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,2,12000
NY,2011,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NASSAU COUNTY POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,5,12000
NY,2011,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,POLICE BENEVOLENT ASSOCIATION OF THE CITY OF NEW YORK,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,6,12000
NY,2015,Republican,NEW YORK STATE SENATE REPUBLICAN CAMPAIGN CMTE,NASSAU COUNTY POLICE BENEVOLENT ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,NA,3,12000
